Column1,Column2,Column3,
SRT,Service Request Testing,"""SRT"":""Service Request Testing"" ",
SSHA,Secure Salted Hashed Algorithm,"""SSHA"":""Secure Salted Hashed Algorithm"" ",
SSL,Secure Socket Layer,"""SSL"":""Secure Socket Layer"" ",
SSM,Sales & Service Maintenance,"""SSM"":""Sales & Service Maintenance"" ",
SSO,Single Sign-On,"""SSO"":""Single Sign-On"" ",
SSPC,Society for Protective Coatings,"""SSPC"":""Society for Protective Coatings"" ",
Stage Gate,Stage Gate,"""Stage Gate"":""Stage Gate"" ",
Standard Cost,Standard Cost,"""Standard Cost"":""Standard Cost"" ",
Standard Order,Standard Order,"""Standard Order"":""Standard Order"" ",
Standard Store Cost,Standard Store Cost,"""Standard Store Cost"":""Standard Store Cost"" ",
STAR,Stores Transportation And Replenishment ,"""STAR"":""Stores Transportation And Replenishment "" ",
Status,Status,"""Status"":""Status"" ",
STEL,Short Term Exposure Limit,"""STEL"":""Short Term Exposure Limit"" ",
STEP,Sales Tax Exemption Processing,"""STEP"":""Sales Tax Exemption Processing"" ",
STL,Survey Team Leader,"""STL"":""Survey Team Leader"" ",
Stop Sale,Stop Sale,"""Stop Sale"":""Stop Sale"" ",
Stores Group,Stores Group,"""Stores Group"":""Stores Group"" ",
String Testing,Beginning to End testing ,"""String Testing"":""Beginning to End testing "" ",
STRSASST,Store's Assistant,"""STRSASST"":""Store's Assistant"" ",
STUOM,Storage Unit of Measure ,"""STUOM"":""Storage Unit of Measure "" ",
StUOM,Storage Unit of Measure,"""StUOM"":""Storage Unit of Measure"" ",
SU,Scale Up,"""SU"":""Scale Up"" ",
SubVar,Substitution Variables,"""SubVar"":""Substitution Variables"" ",
Success by Design,Success by Design,"""Success by Design"":""Success by Design"" ",
Support App,Support App,"""Support App"":""Support App"" ",
Sustainability,Sustainability,"""Sustainability"":""Sustainability"" ",
SV,StatusView,"""SV"":""StatusView"" ",
SVG,Scalable Vector Graphics,"""SVG"":""Scalable Vector Graphics"" ",
SVN,Subversion,"""SVN"":""Subversion"" ",
S-W or SW,Sherwin-Williams,"""S-W or SW"":""Sherwin-Williams"" ",
SW TEC, SW Technical Education Course: ,"""SW TEC"":"" SW Technical Education Course: "" ",
S-W.com,The Sherwin-Williams website,"""S-W.com"":""The Sherwin-Williams website"" ",
SW_HSI,SW_HSI,"""SW_HSI"":""SW_HSI"" ",
SW2000,SW2000,"""SW2000"":""SW2000"" ",
SWAF,Sherwin-Williams Automotive Finishes,"""SWAF"":""Sherwin-Williams Automotive Finishes"" ",
SWAT,Sherwin Williams Answer Team,"""SWAT"":""Sherwin Williams Answer Team"" ",
SWD ,Southwest Division,"""SWD "":""Southwest Division"" ",
SWEEP,Sherwin Williams Enterprise Exchange Process ,"""SWEEP"":""Sherwin Williams Enterprise Exchange Process "" ",
SWEEPS,Sherwin-Williams Enterprise Exchange Process,"""SWEEPS"":""Sherwin-Williams Enterprise Exchange Process"" ",
SWERP,Sherwin-Williams Enterprise Resource Planning,"""SWERP"":""Sherwin-Williams Enterprise Resource Planning"" ",
SWID,Sherwin-Williams Identity,"""SWID"":""Sherwin-Williams Identity"" ",
SWIFT,Society for Worldwide Interbank Financial Telecommunications,"""SWIFT"":""Society for Worldwide Interbank Financial Telecommunications"" ",
SWIM,SWIM,"""SWIM"":""SWIM"" ",
SWIS,Sherwin-Williams Internet Services,"""SWIS"":""Sherwin-Williams Internet Services"" ",
SWMU,Solid Waste Management Unit,"""SWMU"":""Solid Waste Management Unit"" ",
SWPPP,Storm Water Pollution Prevention Plan,"""SWPPP"":""Storm Water Pollution Prevention Plan"" ",
SWTEC,SW Technical Education Course,"""SWTEC"":""SW Technical Education Course"" ",
SWTU,Sherwin-Williams Training University,"""SWTU"":""Sherwin-Williams Training University"" ",
SWTU (SWU),SWTU (SWU),"""SWTU (SWU)"":""SWTU (SWU)"" ",
SWU,Sherwin-Williams University,"""SWU"":""Sherwin-Williams University"" ",
SWU ,Sherwin-Williams University,"""SWU "":""Sherwin-Williams University"" ",
SWUK,Sherwin-Williams United Kingdom,"""SWUK"":""Sherwin-Williams United Kingdom"" ",
SWUKA,Sherwin Williams United Kingdom Automotive,"""SWUKA"":""Sherwin Williams United Kingdom Automotive"" ",
SYN,Syneresis,"""SYN"":""Syneresis"" ",
T&P,Twist & Pour,"""T&P"":""Twist & Pour"" ",
TA,Trade Automation,"""TA"":""Trade Automation"" ",
TAG,The Americas Group,"""TAG"":""The Americas Group"" ",
TAPS,Transportation Automated Planning System,"""TAPS"":""Transportation Automated Planning System"" ",
Tariffs,Tariffs,"""Tariffs"":""Tariffs"" ",
TARS,Technical Assistance Request,"""TARS"":""Technical Assistance Request"" ",
TAS,Thin and Shade,"""TAS"":""Thin and Shade"" ",
TCLP,Toxicity Characteristic Leaching Procedure,"""TCLP"":""Toxicity Characteristic Leaching Procedure"" ",
TCM,Transactional Content Management,"""TCM"":""Transactional Content Management"" ",
TCO,Total Cost of Ownership,"""TCO"":""Total Cost of Ownership"" ",
TCP/IP,x/Internet Protocol,"""TCP/IP"":""x/Internet Protocol"" ",
TD 137,TD 137,"""TD 137"":""TD 137"" ",
TDG,Transportation of Dangerous Goods,"""TDG"":""Transportation of Dangerous Goods"" ",
TDS,Technical Data Sheet,"""TDS"":""Technical Data Sheet"" ",
TDS,Total Dissolved Solids (mg/L),"""TDS"":""Total Dissolved Solids (mg/L)"" ",
Team 150,Team 150,"""Team 150"":""Team 150"" ",
Terms,Terms,"""Terms"":""Terms"" ",
THC,Total Hydrocarbons,"""THC"":""Total Hydrocarbons"" ",
Tinting,Tinting,"""Tinting"":""Tinting"" ",
TLM,Total Lifecycle Management,"""TLM"":""Total Lifecycle Management"" ",
TLT,Truck Load Tendering,"""TLT"":""Truck Load Tendering"" ",
TLV,Threshold Limit Value,"""TLV"":""Threshold Limit Value"" ",
TMR,Tri Modular Redundancy,"""TMR"":""Tri Modular Redundancy"" ",
TMW,Transportation Management W,"""TMW"":""Transportation Management W"" ",
TOAD,TOAD,"""TOAD"":""TOAD"" ",
TOC,Theory Of Constraints,"""TOC"":""Theory Of Constraints"" ",
TOC,Total Organic Carbon,"""TOC"":""Total Organic Carbon"" ",
TOD,Total Oxygen Demand,"""TOD"":""Total Oxygen Demand"" ",
Toller,Toller,"""Toller"":""Toller"" ",
Total Supply Chain,Total Supply Chain,"""Total Supply Chain"":""Total Supply Chain"" ",
TPA,Trading Partner Agreement,"""TPA"":""Trading Partner Agreement"" ",
TPM,Thermoplastic Pavement Marking,"""TPM"":""Thermoplastic Pavement Marking"" ",
TPM,Total Productive Maintenance,"""TPM"":""Total Productive Maintenance"" ",
TPS,Toyota Production System,"""TPS"":""Toyota Production System"" ",
TQM,Total Quality Management,"""TQM"":""Total Quality Management"" ",
TRAC,TRAC,"""TRAC"":""TRAC"" ",
Trade Name,Trade Name,"""Trade Name"":""Trade Name"" ",
Trading Partner,Trading Partner,"""Trading Partner"":""Trading Partner"" ",
Trading Partners,Trading Partners,"""Trading Partners"":""Trading Partners"" ",
Transaction Value Determination,Transaction Value Determination,"""Transaction Value Determination"":""Transaction Value Determination"" ",
Transactional Lean,Transactional Lean,"""Transactional Lean"":""Transactional Lean"" ",
Transfer Allowance,Transfer Allowance,"""Transfer Allowance"":""Transfer Allowance"" ",
Transfer Cost,Transfer Cost,"""Transfer Cost"":""Transfer Cost"" ",
Transfer Price,Transfer Price,"""Transfer Price"":""Transfer Price"" ",
TRISH,TRISH,"""TRISH"":""TRISH"" ",
TRIZ,Theory of Inventive Problem Solving (Translated Russian),"""TRIZ"":""Theory of Inventive Problem Solving (Translated Russian)"" ",
TRV,Thermal Relief Valve,"""TRV"":""Thermal Relief Valve"" ",
TS,Temporarily Stocked ,"""TS"":""Temporarily Stocked "" ",
TS,Technical Specifications,"""TS"":""Technical Specifications"" ",
TSA,Trypticase Soy Agar,"""TSA"":""Trypticase Soy Agar"" ",
TSD,TSD,"""TSD"":""TSD"" ",
TSDDSS,TSDDSS,"""TSDDSS"":""TSDDSS"" ",
TSDF,"Treatment, Storage and Disposal Facility","""TSDF"":""Treatment, Storage and Disposal Facility"" ",
TSDR,"Treatment, Storage, Disposal and Recycling","""TSDR"":""Treatment, Storage, Disposal and Recycling"" ",
TSO,Time Sharing Option,"""TSO"":""Time Sharing Option"" ",
TSS,Total Suspended Solids,"""TSS"":""Total Suspended Solids"" ",
Twist and Pour,Twist and Pour,"""Twist and Pour"":""Twist and Pour"" ",
UAC,User Access Control,"""UAC"":""User Access Control"" ",
UAS,Universal Advertising System,"""UAS"":""Universal Advertising System"" ",
UAT,User Acceptance Testing,"""UAT"":""User Acceptance Testing"" ",
UC,Unified Communications,"""UC"":""Unified Communications"" ",
UCC128,UCC128,"""UCC128"":""UCC128"" ",
UCL,Upper Control Limit,"""UCL"":""Upper Control Limit"" ",
UCM,Universal Content Management,"""UCM"":""Universal Content Management"" ",
UCVB,"Unknown or Variable composition, Complex reaction products or Biological materials","""UCVB"":""Unknown or Variable composition, Complex reaction products or Biological materials"" ",
UDA,User Defined Attribute,"""UDA"":""User Defined Attribute"" ",
UDF,User Defined Field,"""UDF"":""User Defined Field"" ",
UDPM,Unstructured Data Policy Management,"""UDPM"":""Unstructured Data Policy Management"" ",
UEL,Upper Explosive Limit,"""UEL"":""Upper Explosive Limit"" ",
UI,User Interface,"""UI"":""User Interface"" ",
UL,Underwriters Laboratories Inc.,"""UL"":""Underwriters Laboratories Inc."" ",
ULT,Ultimate Source Code at MFG location,"""ULT"":""Ultimate Source Code at MFG location"" ",
Ultimate Source,Ultimate Source,"""Ultimate Source"":""Ultimate Source"" ",
Uniflex,Uniflex,"""Uniflex"":""Uniflex"" ",
Unity,Unity Client (13.0),"""Unity"":""Unity Client (13.0)"" ",
Unity Briefcase,Unity Briefcase (11.0) ,"""Unity Briefcase"":""Unity Briefcase (11.0) "" ",
UNSPSC,United Nations Standard Product and Services Code,"""UNSPSC"":""United Nations Standard Product and Services Code"" ",
UOM , Unit of measure,"""UOM "":"" Unit of measure"" ",
UPC,Uniform Product Code ,"""UPC"":""Uniform Product Code "" ",
Updates,Updates,"""Updates"":""Updates"" ",
UPGF,UPS Freight,"""UPGF"":""UPS Freight"" ",
UPK,User Productivity Kit,"""UPK"":""User Productivity Kit"" ",
UPO,Unidentified Purchase Order,"""UPO"":""Unidentified Purchase Order"" ",
UPSN,UPS small package,"""UPSN"":""UPS small package"" ",
URL,universal resource locator,"""URL"":""universal resource locator"" ",
US HTS,United States Harmonized Tariff System,"""US HTS"":""United States Harmonized Tariff System"" ",
USC,United States Code,"""USC"":""United States Code"" ",
USD,U.S. Dollars,"""USD"":""U.S. Dollars"" ",
USL,Upper Specification Limit,"""USL"":""Upper Specification Limit"" ",
USPS,United States Postal Service,"""USPS"":""United States Postal Service"" ",
USR,Upper Saddle River,"""USR"":""Upper Saddle River"" ",
UST,Underground Storage Tank,"""UST"":""Underground Storage Tank"" ",
UTF-16,16-bit Unicode Transformation Format,"""UTF-16"":""16-bit Unicode Transformation Format"" ",
UTF-8,8-bit Unicode Transformation Format,"""UTF-8"":""8-bit Unicode Transformation Format"" ",
UTL,Upper Tolerance Limit,"""UTL"":""Upper Tolerance Limit"" ",
UVCB,Unidentified Variable Component Biological,"""UVCB"":""Unidentified Variable Component Biological"" ",
V&V,Verification and Validation,"""V&V"":""Verification and Validation"" ",
VA Loan,Veterans Administration Loan,"""VA Loan"":""Veterans Administration Loan"" ",
VAE,Value Added Per Employee,"""VAE"":""Value Added Per Employee"" ",
VAN,Value Added Network,"""VAN"":""Value Added Network"" ",
Varicent,Varicent,"""Varicent"":""Varicent"" ",
VAT,V Acceptance Testing,"""VAT"":""V Acceptance Testing"" ",
VB,Visual Basic,"""VB"":""Visual Basic"" ",
VDA,Verband der Automobilindustrie,"""VDA"":""Verband der Automobilindustrie"" ",
Verity,Verity,"""Verity"":""Verity"" ",
VES,Vapor Extraction System,"""VES"":""Vapor Extraction System"" ",
Viscosity,Viscosity,"""Viscosity"":""Viscosity"" ",
Viscous,Viscous,"""Viscous"":""Viscous"" ",
Visual Mining,Visual Mining,"""Visual Mining"":""Visual Mining"" ",
VLAN,Virtual Local Area Network,"""VLAN"":""Virtual Local Area Network"" ",
VM,Voice Mail,"""VM"":""Voice Mail"" ",
VMI,Vendor Managed Inventory,"""VMI"":""Vendor Managed Inventory"" ",
VoC,Voice of the Customer,"""VoC"":""Voice of the Customer"" ",
VOC,Volatile Organic Compound,"""VOC"":""Volatile Organic Compound"" ",
VOGUE,Vertical OnBase Group of User Experts,"""VOGUE"":""Vertical OnBase Group of User Experts"" ",
VoIP,Voice Over Internet Protocol,"""VoIP"":""Voice Over Internet Protocol"" ",
VPN, Virtual Private Network: ,"""VPN"":"" Virtual Private Network: "" ",
VPP, Voluntary Protection Program: ,"""VPP"":"" Voluntary Protection Program: "" ",
VRF,Vehicle ReFinish,"""VRF"":""Vehicle ReFinish"" ",
VRU,Voice Recognition System,"""VRU"":""Voice Recognition System"" ",
VSA,Volumn Set Addressing,"""VSA"":""Volumn Set Addressing"" ",
VSM,Value Mapping Stream,"""VSM"":""Value Mapping Stream"" ",
W1C,Web #1 Complaint,"""W1C"":""Web #1 Complaint"" ",
W2C,Web #2 Complaint,"""W2C"":""Web #2 Complaint"" ",
W3C,World Wide Web Consortium,"""W3C"":""World Wide Web Consortium"" ",
WAC,Weighted Average Cost,"""WAC"":""Weighted Average Cost"" ",
WAM,Web Access Module,"""WAM"":""Web Access Module"" ",
Warehouse Cost,Warehouse Cost,"""Warehouse Cost"":""Warehouse Cost"" ",
Watson ,Watson ,"""Watson "":""Watson "" ",
WBS,Work Breakdown Structure,"""WBS"":""Work Breakdown Structure"" ",
WBT,Web Based Training,"""WBT"":""Web Based Training"" ",
WCM,Web Content Management,"""WCM"":""Web Content Management"" ",
Web Head,Web Head,"""Web Head"":""Web Head"" ",
WebADI –, Excel-based spreadsheet ,"""WebADI –"":"" Excel-based spreadsheet "" ",
Web-Util,Web Utility,"""Web-Util"":""Web Utility"" ",
Weight,Weight,"""Weight"":""Weight"" ",
West Region,West Region,"""West Region"":""West Region"" ",
WF,WorkFlow,"""WF"":""WorkFlow"" ",
WF Analytics,Workforce Analytics,"""WF Analytics"":""Workforce Analytics"" ",
WF Scheduler,Workforce Scheduler,"""WF Scheduler"":""Workforce Scheduler"" ",
WHMIS,Workplace Hazardous Materials Information System,"""WHMIS"":""Workplace Hazardous Materials Information System"" ",
Widget,Widget,"""Widget"":""Widget"" ",
Wiki,Wiki,"""Wiki"":""Wiki"" ",
WIM,Workforce Integration Manager,"""WIM"":""Workforce Integration Manager"" ",
WIMP,"Window, Icon, Menu, Pointing Device","""WIMP"":""Window, Icon, Menu, Pointing Device"" ",
WINS,Windows Internet Network Service,"""WINS"":""Windows Internet Network Service"" ",
WIP,Work In Process,"""WIP"":""Work In Process"" ",
WIT,Work Improvement Team,"""WIT"":""Work Improvement Team"" ",
WKSH,Watkins Shepard,"""WKSH"":""Watkins Shepard"" ",
WMA,Waste Management Association,"""WMA"":""Waste Management Association"" ",
WMS,Warehouse Management System,"""WMS"":""Warehouse Management System"" ",
WMV,Windows Media Video (file extension),"""WMV"":""Windows Media Video (file extension)"" ",
WNA,Windows Native Authentication,"""WNA"":""Windows Native Authentication"" ",
WNA,World Nuclear Association,"""WNA"":""World Nuclear Association"" ",
WO,Work Order,"""WO"":""Work Order"" ",
Wood Care ,Wood Care ,"""Wood Care "":""Wood Care "" ",
Woodcare PPP,Woodcare Pay Per Performance,"""Woodcare PPP"":""Woodcare Pay Per Performance"" ",
WPF,Window Platform Foundation,"""WPF"":""Window Platform Foundation"" ",
WPG,Weight Per Gallon,"""WPG"":""Weight Per Gallon"" ",
WSUS,Windows Server Update Services,"""WSUS"":""Windows Server Update Services"" ",
WTB,Where To Buy,"""WTB"":""Where To Buy"" ",
WV,WorkView,"""WV"":""WorkView"" ",
WW,Water and Waste-Water,"""WW"":""Water and Waste-Water"" ",
WWT,Waste Water Treatment,"""WWT"":""Waste Water Treatment"" ",
WYSIWYG,What you see is what you get,"""WYSIWYG"":""What you see is what you get"" ",
X12,X12,"""X12"":""X12"" ",
XF,Approve to Transfer,"""XF"":""Approve to Transfer"" ",
XGSI,Xpress Global Systems,"""XGSI"":""Xpress Global Systems"" ",
XML,Extensible Markup Language,"""XML"":""Extensible Markup Language"" ",
XRM,Extended Relationship Management,"""XRM"":""Extended Relationship Management"" ",
ZPA ,ZScaler Private Access,"""ZPA "":""ZScaler Private Access"" ",
